Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
sample_22.trimmed.R2.v1	sample_22.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85072530.0	0.0	50-157	50.0	23.62791917479515	152.07639363728808	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_23.trimmed.R1.v1	sample_23.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84100137.0	0.0	50-157	52.0	19.587751591138293	153.11122178076832	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_23.trimmed.R2.v1	sample_23.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84100137.0	0.0	50-157	51.0	23.90295261026328	153.0426604180205	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_24.trimmed.R1.v1	sample_24.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95959165.0	0.0	50-157	51.0	19.63578265638502	153.19635969112485	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_24.trimmed.R2.v1	sample_24.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95959165.0	0.0	50-157	51.0	24.207302659591257	153.1623418982439	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_25.trimmed.R1.v1	sample_25.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97174309.0	0.0	50-157	52.0	18.305442333982093	153.6932848063782	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_25.trimmed.R2.v1	sample_25.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97174309.0	0.0	50-157	50.0	22.455520935436866	153.63495714695537	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_26.trimmed.R1.v1	sample_26.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94540337.0	0.0	50-157	51.0	20.97855326887617	154.0843414065681	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_26.trimmed.R2.v1	sample_26.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94540337.0	0.0	50-157	50.0	25.753225723734225	154.01543896548623	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_27.trimmed.R1.v1	sample_27.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95179945.0	0.0	50-157	52.0	19.017872995995518	154.27636773692188	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
