GWK47_027969	KAG0730563.1	GO:0016788
GWK47_027969	KAG0730563.1	GO:0016888
GWK47_027969	KAG0730563.1	InterPro:IPR032466
GWK47_027969	KAG0730563.1	PFAM:PF01026
GWK47_027970	KAG0730564.1	CDD:cd00311
GWK47_027970	KAG0730564.1	GO:0003824
GWK47_027970	KAG0730564.1	GO:0004807
GWK47_027970	KAG0730564.1	GO:0006096
GWK47_027970	KAG0730564.1	InterPro:IPR020861
GWK47_027970	KAG0730564.1	InterPro:IPR022896
GWK47_027970	KAG0730564.1	InterPro:IPR035990
GWK47_027970	KAG0730564.1	PFAM:PF00121
GWK47_027970	KAG0730564.1	TIGRFAM:TIGR00419
GWK47_027971	KAG0730565.1	InterPro:IPR009038
GWK47_027971	KAG0730565.1	InterPro:IPR036598
GWK47_027971	KAG0730565.1	PFAM:PF01105
GWK47_027972	KAG0730566.1	CDD:cd00056
GWK47_027972	KAG0730566.1	GO:0003824
GWK47_027972	KAG0730566.1	GO:0006281
GWK47_027972	KAG0730566.1	GO:0006284
GWK47_027972	KAG0730566.1	InterPro:IPR023170
GWK47_027972	KAG0730566.1	PFAM:PF00730
GWK47_027980	KAG0730570.1	CDD:cd00105
GWK47_027980	KAG0730570.1	GO:0003676
GWK47_027980	KAG0730570.1	GO:0003723
GWK47_027980	KAG0730570.1	InterPro:IPR036612
GWK47_027980	KAG0730570.1	PFAM:PF00013
GWK47_027980	KAG0730568.1	GO:0003723
GWK47_027980	KAG0730568.1	PFAM:PF00013
GWK47_027980	KAG0730569.1	CDD:cd00105
GWK47_027980	KAG0730569.1	GO:0003676
GWK47_027980	KAG0730569.1	GO:0003723
GWK47_027980	KAG0730569.1	InterPro:IPR036612
GWK47_027980	KAG0730569.1	PFAM:PF00013
GWK47_027981	KAG0730571.1	GO:0000502
GWK47_027981	KAG0730571.1	GO:0030234
GWK47_027981	KAG0730571.1	GO:0042176
GWK47_027981	KAG0730571.1	InterPro:IPR036390
GWK47_027981	KAG0730571.1	PFAM:PF01399
GWK47_027981	KAG0730571.1	PFAM:PF08375
GWK47_028009	KAG0730553.1	InterPro:IPR036873
GWK47_028014	KAG0730543.1	CDD:cd09804
GWK47_028014	KAG0730543.1	GO:0000290
GWK47_028014	KAG0730543.1	GO:0008047
GWK47_028014	KAG0730543.1	GO:0043085
GWK47_028014	KAG0730543.1	InterPro:IPR031953
GWK47_028014	KAG0730543.1	PFAM:PF06058
GWK47_028014	KAG0730543.1	PFAM:PF16741
GWK47_028016	KAG0730545.1	GO:0005515
GWK47_028016	KAG0730545.1	InterPro:IPR019734
GWK47_028016	KAG0730545.1	PFAM:PF13181
GWK47_028019	KAG0730548.1	GO:0005515
GWK47_028019	KAG0730548.1	InterPro:IPR016024
GWK47_028019	KAG0730548.1	InterPro:IPR029069
GWK47_028019	KAG0730548.1	PFAM:PF00514
GWK47_028020	KAG0730549.1	GO:0006886
GWK47_028020	KAG0730549.1	GO:0008536
GWK47_028020	KAG0730549.1	InterPro:IPR016024
GWK47_028020	KAG0730549.1	PFAM:PF03810
GWK47_028028	KAG0730537.1	InterPro:IPR027806
GWK47_028028	KAG0730537.1	PFAM:PF13359
GWK47_028030	KAG0730539.1	InterPro:IPR006797
GWK47_028030	KAG0730539.1	PFAM:PF04707
GWK47_028049	KAG0730541.1	GO:0003735
GWK47_028049	KAG0730541.1	GO:0005840
GWK47_028049	KAG0730541.1	GO:0006412
GWK47_028061	KAG0730528.1	GO:0016787
GWK47_028061	KAG0730528.1	InterPro:IPR029052
GWK47_028061	KAG0730528.1	PFAM:PF00149
GWK47_028063	KAG0730531.1	InterPro:IPR002909
GWK47_028063	KAG0730531.1	InterPro:IPR013783
GWK47_028063	KAG0730531.1	InterPro:IPR014756
GWK47_028063	KAG0730531.1	InterPro:IPR039481
GWK47_028063	KAG0730531.1	PFAM:PF01833
GWK47_028063	KAG0730531.1	PFAM:PF15469
GWK47_028065	KAG0730533.1	GO:0003924
GWK47_028065	KAG0730533.1	GO:0005525
GWK47_028065	KAG0730533.1	InterPro:IPR027417
GWK47_028065	KAG0730533.1	PFAM:PF00071
GWK47_028065	KAG0730533.1	TIGRFAM:TIGR00231
GWK47_028070	KAG0730524.1	GO:0003677
GWK47_028070	KAG0730524.1	PFAM:PF03221
GWK47_028072	KAG0730525.1	GO:0003676
GWK47_028072	KAG0730525.1	GO:0008270
GWK47_028075	KAG0730526.1	GO:0005515
