Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
sample_5	76991806.0	307.0	62861549.0	81.65	303.15	49749005.0	25610534.0	48871636.0	374739.0	5879.0	496751.0	0.69	0.04	2.5	0.04	1.95	6740039.0	8.75	18028.0	0.02	0.0	8.99	0.58	0	6925391	446799
sample_50	99525891.0	305.0	78669850.0	79.04	300.34	66979136.0	32841862.0	65883437.0	509294.0	6505.0	579900.0	0.66	0.04	2.61	0.04	1.97	10293026.0	10.34	57851.0	0.06	0.0	9.84	0.72	0	9788903	716261
sample_51	109193326.0	306.0	81448652.0	74.59	301.29	70308538.0	35738344.0	69120581.0	546629.0	6418.0	634910.0	0.68	0.04	2.49	0.04	1.95	10181969.0	9.32	26053.0	0.02	0.0	15.54	0.52	0	16968840	567812
sample_52	95558825.0	305.0	76557393.0	80.12	300.76	65352007.0	31718535.0	64201194.0	487677.0	7045.0	656091.0	0.67	0.05	2.58	0.04	2.03	8822901.0	9.23	28723.0	0.03	0.0	10.02	0.6	0	9576373	573435
sample_53	136143569.0	306.0	104693589.0	76.9	301.86	85443658.0	41442514.0	83846510.0	651716.0	9490.0	935942.0	0.66	0.05	2.68	0.04	2.07	17096492.0	12.56	228688.0	0.17	0.0	8.46	1.92	0	11512120	2612680
sample_54	132575171.0	304.0	108238693.0	81.64	299.92	86492477.0	45347274.0	84895016.0	701777.0	9527.0	886157.0	0.67	0.04	2.52	0.04	1.97	12143162.0	9.16	57923.0	0.04	0.0	8.62	0.54	0	11419988	715405
sample_55	101892086.0	303.0	83969394.0	82.41	298.98	69325813.0	35043962.0	68005827.0	545845.0	7885.0	766256.0	0.67	0.04	2.53	0.04	1.95	8530642.0	8.37	38352.0	0.04	0.0	8.68	0.5	0	8844237	509461
sample_56	118476387.0	303.0	96477626.0	81.43	299.36	75461421.0	39516749.0	74111268.0	611114.0	6936.0	732103.0	0.67	0.04	2.43	0.04	2.06	11129850.0	9.39	35790.0	0.03	0.0	8.69	0.45	0	10299762	533359
sample_57	95046388.0	309.0	76901978.0	80.91	304.14	63178197.0	32774378.0	62060606.0	510769.0	6361.0	600461.0	0.69	0.05	2.49	0.04	2.09	8441379.0	8.88	27073.0	0.03	0.0	9.63	0.55	0	9153190	522768
sample_58	96136559.0	302.0	78781077.0	81.95	298.37	61873294.0	32501360.0	60735103.0	508882.0	6921.0	622388.0	0.68	0.05	2.49	0.04	1.96	8708416.0	9.06	28523.0	0.03	0.0	8.44	0.53	0	8109309	509234
sample_59	99549710.0	306.0	76081432.0	76.43	302.06	61028763.0	30425104.0	59834416.0	552496.0	7364.0	634487.0	0.67	0.05	2.59	0.04	2.1	13193215.0	13.25	163817.0	0.16	0.0	8.1	2.05	0	8069073	2042173
sample_6	71772979.0	306.0	59236915.0	82.53	302.31	48908327.0	25568622.0	48091597.0	388851.0	3970.0	423909.0	0.7	0.04	2.48	0.03	1.97	5640882.0	7.86	20633.0	0.03	0.0	9.06	0.52	0	6501400	373149
sample_60	115345102.0	305.0	89116816.0	77.26	300.87	73250942.0	34823740.0	71954621.0	568511.0	6499.0	721311.0	0.69	0.05	2.52	0.04	2.05	15015361.0	13.02	31708.0	0.03	0.0	9.12	0.58	0	10512649	668568
sample_61	138659203.0	306.0	108293848.0	78.1	301.4	83960893.0	41191087.0	82387170.0	663460.0	10542.0	899721.0	0.68	0.05	2.58	0.04	2.14	16423580.0	11.84	137358.0	0.1	0.0	9.19	0.76	0	12750009	1054408
sample_62	174069388.0	307.0	133468618.0	76.68	302.73	107951541.0	54704762.0	106064669.0	860496.0	12131.0	1014245.0	0.68	0.04	2.58	0.04	2.0	17116770.0	9.83	161519.0	0.09	0.0	12.51	0.89	0	21773451	1549030
sample_63	98082914.0	305.0	77033730.0	78.54	300.66	63162904.0	30240567.0	61880224.0	528275.0	5055.0	749350.0	0.67	0.05	2.51	0.04	2.08	11162263.0	11.38	64200.0	0.07	0.0	8.88	1.14	0	8705166	1117555
sample_7	72447882.0	304.0	55995628.0	77.29	300.08	47305815.0	23056205.0	46335522.0	428953.0	4563.0	536777.0	0.68	0.05	2.46	0.04	2.06	8601668.0	11.87	90923.0	0.13	0.0	8.73	1.98	0	6325103	1434560
sample_8	95654052.0	303.0	75853448.0	79.3	299.26	61965057.0	32065719.0	60863468.0	490550.0	5677.0	605362.0	0.69	0.04	2.49	0.04	1.95	8549467.0	8.94	35397.0	0.04	0.0	11.14	0.59	0	10651606	564134
sample_9	108057854.0	308.0	84560374.0	78.25	303.57	68622278.0	33678592.0	67338586.0	572580.0	8146.0	702966.0	0.7	0.05	2.72	0.04	2.11	11043180.0	10.22	86241.0	0.08	0.0	10.48	0.97	0	11320285	1047774
