Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
23	84100137.0	307.0	49536550.0	58.9	301.33	42143657.0	20785053.0	41025850.0	493016.0	3918.0	620873.0	1.06	0.08	2.31	0.07	1.93	14659129.0	17.43	22541.0	0.03	0.0	22.02	1.62	0	18519451	1362466
24	95959165.0	308.0	51808369.0	53.99	300.87	39832621.0	18604070.0	38715368.0	395730.0	4690.0	716833.0	1.11	0.09	2.55	0.07	2.08	18062016.0	18.82	181428.0	0.19	0.0	22.74	4.25	0	21827832	4079520
25	97174309.0	309.0	57240896.0	58.91	302.12	47111087.0	22877485.0	45758994.0	471283.0	4609.0	876201.0	1.07	0.09	2.34	0.07	1.9	16335578.0	16.81	46198.0	0.05	0.0	22.52	1.72	0	21880481	1671156
26	94540337.0	309.0	54257019.0	57.39	302.88	43136376.0	20941310.0	41963854.0	416911.0	4546.0	751065.0	1.06	0.09	2.46	0.07	2.13	16020324.0	16.95	42980.0	0.05	0.0	23.11	2.51	0	21847171	2372843
27	95179945.0	310.0	51975891.0	54.61	303.31	41607208.0	20168635.0	40451465.0	447898.0	5364.0	702481.0	1.11	0.09	2.44	0.07	2.06	15620571.0	16.41	146596.0	0.15	0.0	24.88	3.95	0	23677757	3759130
28	82132052.0	309.0	45096155.0	54.91	302.55	37261706.0	17714058.0	36169792.0	358367.0	3827.0	729720.0	1.09	0.09	2.41	0.08	1.85	14249578.0	17.35	164159.0	0.2	0.0	22.88	4.66	0	18794300	3827860
29	86752132.0	309.0	49538944.0	57.1	302.38	38633424.0	19026790.0	37498769.0	401116.0	3680.0	729859.0	1.11	0.08	2.4	0.07	1.99	14100592.0	16.25	37278.0	0.04	0.0	24.98	1.62	0	21669979	1405339
3	93429748.0	307.0	52018191.0	55.68	300.29	43911715.0	20853815.0	42640718.0	455214.0	4903.0	810880.0	1.07	0.09	2.46	0.07	1.86	15772637.0	16.88	165594.0	0.18	0.0	23.07	4.2	0	21550041	3923285
30	87874849.0	308.0	51820121.0	58.97	302.4	42919417.0	21254003.0	41773459.0	391177.0	3507.0	751274.0	1.07	0.08	2.19	0.07	1.73	15342948.0	17.46	19577.0	0.02	0.0	22.03	1.52	0	19356655	1335548
31	93670165.0	308.0	49966981.0	53.34	301.71	39742951.0	18284956.0	38694109.0	338496.0	5298.0	705048.0	1.08	0.09	2.58	0.07	1.96	16410670.0	17.52	265246.0	0.28	0.0	23.17	5.68	0	21706128	5321140
32	95057180.0	309.0	56247088.0	59.17	302.9	45678584.0	22657572.0	44466110.0	481118.0	5441.0	725915.0	1.08	0.08	2.34	0.07	2.05	16781989.0	17.65	25625.0	0.03	0.0	21.63	1.51	0	20566707	1435771
33	94977388.0	310.0	54056202.0	56.91	303.12	43936927.0	21988353.0	42647616.0	437643.0	4099.0	847569.0	1.11	0.08	2.24	0.08	1.91	16232092.0	17.09	62575.0	0.07	0.0	24.07	1.86	0	22860020	1766499
34	90975920.0	310.0	46775023.0	51.41	302.76	37815897.0	18928485.0	36716133.0	402608.0	4175.0	692981.0	1.11	0.09	2.48	0.07	2.08	13616933.0	14.97	72287.0	0.08	0.0	31.57	1.97	0	28719548	1792129
35	95852395.0	310.0	52836616.0	55.12	302.91	41451192.0	20400388.0	40335827.0	417637.0	5162.0	692566.0	1.12	0.09	2.63	0.07	2.07	17138463.0	17.88	119348.0	0.12	0.0	23.64	3.23	0	22661644	3096324
36	84577477.0	309.0	45074089.0	53.29	301.92	37094394.0	17889615.0	36140714.0	313645.0	3457.0	636578.0	1.11	0.08	2.33	0.08	1.94	14265638.0	16.87	47429.0	0.06	0.0	25.37	4.42	0	21452784	3737537
37	82302493.0	310.0	45604928.0	55.41	303.14	36307239.0	17632019.0	35259881.0	358598.0	4421.0	684339.0	1.11	0.08	2.47	0.07	2.07	14946317.0	18.16	162080.0	0.2	0.0	21.64	4.59	0	17811269	3777899
38	90491855.0	309.0	52087378.0	57.56	302.21	41929598.0	20707159.0	40766630.0	379721.0	4026.0	779221.0	1.09	0.09	2.41	0.07	2.06	15544021.0	17.18	28474.0	0.03	0.0	23.58	1.66	0	21330354	1501628
39	93048886.0	309.0	54964814.0	59.07	302.87	46860502.0	23298868.0	45593572.0	480659.0	4167.0	782104.0	1.08	0.08	2.31	0.07	1.83	15799062.0	16.98	19475.0	0.02	0.0	22.65	1.28	0	21074566	1190969
4	84355948.0	310.0	34861676.0	41.33	303.54	27566848.0	12971276.0	26784260.0	285628.0	3969.0	492991.0	1.08	0.1	2.72	0.07	2.03	11292290.0	13.39	184996.0	0.22	0.0	40.19	4.88	0	33900658	4116328
40	101119697.0	309.0	60606366.0	59.94	302.9	51866448.0	24636969.0	50527009.0	504874.0	4658.0	829907.0	1.07	0.08	2.3	0.07	1.82	17400879.0	17.21	24644.0	0.02	0.0	21.34	1.49	0	21580982	1506826
41	94112091.0	308.0	56139164.0	59.65	302.29	46438990.0	22681980.0	45271286.0	396868.0	4544.0	766292.0	1.07	0.08	2.31	0.07	1.92	16572650.0	17.61	24443.0	0.03	0.0	21.1	1.61	0	19860418	1515416
42	101991150.0	309.0	58814183.0	57.67	303.18	47021123.0	23931836.0	45792331.0	509731.0	4724.0	714337.0	1.07	0.07	2.28	0.06	1.89	17921339.0	17.57	25086.0	0.02	0.0	23.26	1.48	0	23721197	1509345
