pc1_pos_loadings	pc1_neg_loadings	pc2_pos_loadings	pc2_neg_loadings	short_OA_all	short_OA_up_sev	short_OA_down_sev	mod_short_all	mod_short_up	mod_short_down	sev_short_all	sev_short_up	sev_short_down	intersect_short_all	intersect_short_up	intersect_short_down	dose_short_increase	dose_short_decrease	mod_persist_all	sev_persist_all	long_all	long_up	long_down	long_up_0.5	long_down_0.5
							Q9UKG1	Q962T2	Q6PFJ9	Q15427	Q5F356	Q9Y5Q5												
							B2RZ50	Q7Q5R5	Q9VT28	Q9W445	Q2KIG2	B4M5X4												
							Q922U1	P02401	Q9VF87	O95563	P43332	Q9Y2G3												
							Q641C9	Q6ZWV7	Q9TTK4	Q9I7U4	P14318	Q9Y2G3												
							P23934	Q3T0D5	Q23356	Q9I7U4	Q28DS0	Q27712												
							P10253	Q6ZS10	Q5ZL23	Q9I7U4	Q505F5	Q04164												
							Q4QY64	Q9JJT0	Q9VWN9	Q9I7U4	Q9D799	Q9GKI7												
							P49793	Q9CXZ1	P49792	Q9I7U4	P58012	Q7QHW5												
							Q96RL7	Q96FX7	A0A0B4K7J2	Q641C9	Q6NWG4	Q9UT59												
							Q55FM5	P97878	Q8BL66	Q5R7W2	B2GUN4	O95393												
							Q8AVU9	P30430	O02811	P10253	P19351	X1WE18												
							Q24306	C0KJQ4	Q9NDJ2	Q04164	O46040	Q15111												
							Q9V3P6	Q0KK59	Q23551	Q7T2G1	Q567C6	Q9VV43												
							Q9VCR7	E2RED8	Q23551	Q8AVU9	D3Z9Z9	Q9VTZ5												
							Q8SX83	Q9W2N0	Q24093	Q96P09	Q96FW1	Q00537												
							Q8BMP6	P82650	Q24093	P45521	Q5ZLN8	Q8IV38												
							Q32KX7	Q810V0	Q9VW47	Q922H9	Q0IHI6	B4IBI9												
							B0DK66	P34690	Q62130	Q4R646	Q9Z0W3	Q9QXF7												
							Q92614	Q28C74	P48180	C0HL66	P0C1H7	Q95TJ9												
							E9PU17	Q3SX41	Q8BL99	Q9VCR7	Q5RJK8	P55906												
							Q99758	Q8MS27	O15943	A2AWR3	P35520	P49340												
							O95081	O97018	Q29L50	Q9UMX0	Q9NQT4	Q9V427												
							Q7YU29	A7SXK3	Q8ND76	Q9CR80	P80601	Q9V4Z9												
							Q9VCX3	Q8VEH6	A2AJK6	Q8SX83	Q178A5	O16025												
							P53611	Q9VJ38	Q9VT28	Q5XJ57	Q5U5C5	Q5F480												
							Q9VHC5	Q58DV5	Q8BXR9	O95405	Q8R2Y8	P21902												
							B3EWZ6		O02751	Q32KV0	Q8WQG1	Q9ET30												
							Q9U6A0		Q3ZBG9	Q9D1I5	Q86SX6													
							Q9Y6R4		Q86MI0	Q9XTL9	Q64163													
							Q8VD04		Q90ZK6	Q9NQW7	Q5R587													
							Q4VC12		Q8IZD9	Q0III2	Q9JJL8													
							P03958		Q8BRH4	Q92614	Q9ET77													
							F1LTR1		P20482	Q9Z1B5	Q6DGZ3													
							F3YDF1		Q93008	P20911	Q8N806													
							A8WQ43		Q93008	Q9VVN2	K7IM66													
							Q96FG2		Q9VW71	Q2PYN8	Q24562													
							O01666		Q9UKW4	P80746	Q9CQS5													
							Q08BY0		P00529	A2RRP1	P59235													
							O75165		Q99570	W0LYS5	O96347													
							Q8K296		O60268	Q7ZWV9	O61305													
							P19536		Q5T011	Q14624	P23128													
							Q8VHK9		Q5T011	P11966	Q9MZL5													
							Q2LD37		Q7K237	Q4R3D4	Q99104													
							Q2LD37		Q32L68	A0A1D5NSM8	Q9DBE9													
							Q9JKW0		P70031	P86229	Q9DBE9													
							Q7KRY7		Q80XP9	Q9W2E7	Q791V5													
							Q6PR54		Q6INE3	Q9VW71	P51163													
							Q3T106		Q9ES00	P19536	Q7TM95													
							Q2HJ97		Q8SY33	A0A0R4IES7	P46196													
							Q9VFB2		E9Q9R9	Q5E9N3	Q7JWG9													
							O95373		O95714	Q7KRY7	P32023													
							O97366		Q75T13	Q3SYT7	Q290A8													
							O97366		Q15032	B0WGM1	Q58CS8													
							Q5ZJ01		Q6VNB8	Q08BB1	Q9D9H8													
							Q9R0P6		Q8IZQ1	Q64337	A2CEI4													
							Q7PHR1		Q8IZQ1	Q2HJ97	Q0MQH9													
							Q96KR6		A4IH88	Q9VFB2	Q24251													
							Q7TMY8		Q9WVR8	Q5M8Y1	Q8R216													
							Q7Z6Z7		B4IX08	Q6AYK6	Q9DC61													
							Q7Z6Z7		Q09472	Q9W141	Q6DGL7													
							Q9VXK0		Q9Y2B2	G5ECU1	Q6NT04													
							Q1HPL8		Q0E9H9	Q9R0P6	Q9GKX2													
							O42248		Q63505	B4PZ52	Q9CQ69													
							Q9VA27		Q9WVE9	Q32PI6	P41636													
							Q02427		Q4KLV1	Q292H2	Q9V0D5													
							L7YAI7		Q8K0U4	Q7JYV2	Q08BY0													
							P26572		P82987	Q9VXK0	Q32PE9													
							O44386		Q9V3L1	Q1HPL8	Q3ZBU2													
							Q95334		Q9Y2G3	C4NZN9	Q9NII1													
							O88902		Q9Y2G3	B8A4F4	Q60HD8													
							Q9NQP4		Q86BA1	Q5TUE9	Q9CR63													
							Q3SZV8		Q16Y34	P29052	Q5ZKB8													
							Q1LV46		Q9HC10	O88902	Q90W95													
							Q5R816		Q9VBC4	Q9NQP4	Q6PC91													
							P49096		O08789	Q4V8T0	Q2HJ58													
							P09623		P16554	P49963	Q9VHV1													
							Q8CIZ7		Q640V2	P41824	P49906													
							Q4R7U0		Q9UT59	P27925	Q56P03													
							Q5R5K5		Q8MJ44	Q3SZV8	Q6GLI9													
							P48608		X1WE18	A0A291PQF1	Q9UET6													
							Q96DX4		Q3UIK4	Q3B7H2	D8VNS7													
							Q8VI75		P70478	Q2KIH4	Q6GNV7													
							A1A5F2		P85037	Q2KHU4	P56380													
							Q9BW72		Q7ZYI9	P24156	Q13620													
							Q6GMK8		Q9Y2R2	P78316	Q91VA6													
							Q8WYH8		P51790	Q9VV87	Q9GV46													
							P0CH95		Q95TJ9	Q91WM2	Q58CQ5													
							Q9UJK0		Q95QV8	Q96DX4	Q6UWH6													
							P57784		Q6AYR9	Q9Z0L8	Q24439													
							Q6NWG4		Q96ST3	Q5F356	Q16698													
							Q9CQJ8		O15945	Q2KIG2	Q9VCC3													
							Q9ULK2		A0PJE2	P43332	Q9VXB0													
							Q61493			P14318	Q3T106													
							O60673			Q28DS0	P17717													
							Q2TLY2			Q505F5	Q6GPQ6													
							Q99LG2			Q9D799	Q94522													
							O46040			P58012	O75414													
							O46040			P21902	Q9CQL4													
							Q9U516			Q6NWG4	P59015													
							P35968			Q86IC9	P56252													
							Q9VYV5			B2GUN4	Q5T013													
							Q9U4L6			P19351	Q7JZM8													
							O42196			O46040	P14604													
							Q14686			Q567C6	Q9DDJ0													
							Q6NZW8			O42196	Q4R6Y6													
