Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
5329_13_S76_L004_R1_001	77.80895808815022	52.0	157.0	27.27272727272727	52069857.0
5329_13_S76_L004_R2_001	73.50820248476268	51.0	157.0	27.27272727272727	52069857.0
5329_14_S77_L004_R1_001	78.66082285149406	52.0	157.0	27.27272727272727	61992570.0
5329_14_S77_L004_R2_001	74.95684202582609	51.0	157.0	27.27272727272727	61992570.0
5329_15_S78_L004_R1_001	77.00633751867217	51.0	157.0	27.27272727272727	50452782.0
5329_15_S78_L004_R2_001	72.67774351482748	50.0	157.0	27.27272727272727	50452782.0
5329_16_S79_L004_R1_001	77.15461517858913	51.0	157.0	27.27272727272727	50017032.0
5329_16_S79_L004_R2_001	72.89898621435768	50.0	157.0	27.27272727272727	50017032.0
5329_17_S80_L004_R1_001	76.08244190676504	51.0	157.0	27.27272727272727	53533577.0
5329_17_S80_L004_R2_001	71.89872647793972	51.0	157.0	27.27272727272727	53533577.0
5329_18_S81_L004_R1_001	76.65386106776114	52.0	157.0	27.27272727272727	46666868.0
5329_18_S81_L004_R2_001	72.27678352131207	51.0	157.0	27.27272727272727	46666868.0
5329_19_S82_L004_R1_001	77.80549443766304	52.0	157.0	27.27272727272727	41478472.0
5329_19_S82_L004_R2_001	73.19643498678245	51.0	157.0	27.27272727272727	41478472.0
5329_1_S64_L004_R1_001	78.58099864790316	52.0	157.0	27.27272727272727	45513072.0
5329_1_S64_L004_R2_001	74.23979618639392	51.0	157.0	27.27272727272727	45513072.0
5329_20_S83_L004_R1_001	75.42523608034054	52.0	157.0	27.27272727272727	42720788.0
5329_20_S83_L004_R2_001	71.24841935443757	51.0	157.0	27.27272727272727	42720788.0
5329_21_S84_L004_R1_001	74.24453755991121	51.0	157.0	27.27272727272727	43721813.0
5329_21_S84_L004_R2_001	69.82918557947987	51.0	157.0	27.27272727272727	43721813.0
5329_22_S85_L004_R1_001	75.62824438041864	51.0	157.0	36.36363636363637	42602403.0
5329_22_S85_L004_R2_001	71.54529900094612	50.0	157.0	36.36363636363637	42602403.0
5329_23_S86_L004_R1_001	75.97455272473287	52.0	157.0	27.27272727272727	42604003.0
5329_23_S86_L004_R2_001	71.75562503608896	51.0	157.0	27.27272727272727	42604003.0
5329_24_S87_L004_R1_001	75.76875345807656	51.0	157.0	27.27272727272727	48189313.0
5329_24_S87_L004_R2_001	71.11063568011916	51.0	157.0	27.27272727272727	48189313.0
5329_25_S88_L004_R1_001	77.25399371002358	52.0	157.0	27.27272727272727	49150199.0
5329_25_S88_L004_R2_001	72.77882798942103	50.0	157.0	27.27272727272727	49150199.0
5329_26_S89_L004_R1_001	74.40215911725143	51.0	157.0	27.27272727272727	48123789.0
5329_26_S89_L004_R2_001	69.81423253735305	50.0	157.0	27.27272727272727	48123789.0
5329_27_S90_L004_R1_001	76.84841872558242	52.0	157.0	27.27272727272727	47875009.0
5329_27_S90_L004_R2_001	71.77587748277342	51.0	157.0	27.27272727272727	47875009.0
5329_28_S91_L004_R1_001	76.16460768352876	52.0	157.0	27.27272727272727	41203485.0
5329_28_S91_L004_R2_001	71.81595284505644	51.0	157.0	27.27272727272727	41203485.0
5329_29_S92_L004_R1_001	76.35278462006478	51.0	157.0	27.27272727272727	43949052.0
5329_29_S92_L004_R2_001	71.61901001653767	50.0	157.0	27.27272727272727	43949052.0
5329_2_S65_L004_R1_001	75.57602561333552	52.0	157.0	27.27272727272727	45842491.0
5329_2_S65_L004_R2_001	71.3288350075164	51.0	157.0	27.27272727272727	45842491.0
5329_30_S93_L004_R1_001	79.44525114064922	52.0	157.0	27.27272727272727	44461313.0
5329_30_S93_L004_R2_001	75.55461260380416	50.0	157.0	27.27272727272727	44461313.0
5329_31_S94_L004_R1_001	76.25765277348304	52.0	157.0	27.27272727272727	47447645.0
5329_31_S94_L004_R2_001	71.72139252940548	52.0	157.0	27.27272727272727	47447645.0
5329_32_S95_L004_R1_001	75.94603955299658	51.0	157.0	27.27272727272727	48848952.0
5329_32_S95_L004_R2_001	72.47411358009921	50.0	157.0	27.27272727272727	48848952.0
5329_33_S96_L004_R1_001	78.9325963869442	51.0	157.0	27.27272727272727	47471859.0
5329_33_S96_L004_R2_001	74.63114438692114	50.0	157.0	27.27272727272727	47471859.0
5329_34_S97_L004_R1_001	78.17507889055327	51.0	157.0	27.27272727272727	45815825.0
5329_34_S97_L004_R2_001	73.85722005957518	50.0	157.0	27.27272727272727	45815825.0
5329_35_S98_L004_R1_001	77.58379282691358	51.0	157.0	27.27272727272727	48549277.0
5329_35_S98_L004_R2_001	73.44026522114487	50.0	157.0	27.27272727272727	48549277.0
5329_36_S99_L004_R1_001	79.37895555452502	51.0	157.0	27.27272727272727	42804421.0
5329_36_S99_L004_R2_001	77.7424004614904	50.0	157.0	27.27272727272727	42804421.0
5329_37_S100_L004_R1_001	75.51249429696344	51.0	157.0	27.27272727272727	41527879.0
5329_37_S100_L004_R2_001	70.57174178142888	50.0	157.0	27.27272727272727	41527879.0
5329_38_S101_L004_R1_001	75.88208391854889	51.0	157.0	27.27272727272727	45955875.0
