Sample	Unique Reads	Duplicate Reads
5329_26_S89_L004_R2_001	14526536.0	33597253.0
5329_27_S90_L004_R1_001	11083822.0	36791187.0
5329_27_S90_L004_R2_001	13512302.0	34362707.0
5329_28_S91_L004_R1_001	9821013.0	31382472.0
5329_28_S91_L004_R2_001	11612810.0	29590675.0
5329_29_S92_L004_R1_001	10392727.0	33556325.0
5329_29_S92_L004_R2_001	12473177.0	31475875.0
5329_2_S65_L004_R1_001	11196559.0	34645932.0
5329_2_S65_L004_R2_001	13143577.0	32698914.0
5329_30_S93_L004_R1_001	9138912.0	35322401.0
5329_30_S93_L004_R2_001	10868741.0	33592572.0
5329_31_S94_L004_R1_001	11265185.0	36182460.0
5329_31_S94_L004_R2_001	13417534.0	34030111.0
5329_32_S95_L004_R1_001	11750108.0	37098844.0
5329_32_S95_L004_R2_001	13446108.0	35402844.0
5329_33_S96_L004_R1_001	10001089.0	37470770.0
5329_33_S96_L004_R2_001	12043068.0	35428791.0
5329_34_S97_L004_R1_001	9999268.0	35816557.0
5329_34_S97_L004_R2_001	11977531.0	33838294.0
5329_35_S98_L004_R1_001	10882907.0	37666370.0
5329_35_S98_L004_R2_001	12894560.0	35654717.0
5329_36_S99_L004_R1_001	8826719.0	33977702.0
5329_36_S99_L004_R2_001	9527237.0	33277184.0
5329_37_S100_L004_R1_001	10169142.0	31358737.0
5329_37_S100_L004_R2_001	12220932.0	29306947.0
5329_38_S101_L004_R1_001	11083600.0	34872275.0
5329_38_S101_L004_R2_001	12869559.0	33086316.0
5329_39_S102_L004_R1_001	10627465.0	36887627.0
5329_39_S102_L004_R2_001	12648038.0	34867054.0
5329_3_S66_L004_R1_001	11174296.0	36199993.0
5329_3_S66_L004_R2_001	13250363.0	34123926.0
5329_40_S103_L004_R1_001	11600045.0	39640670.0
5329_40_S103_L004_R2_001	13913907.0	37326808.0
5329_41_S104_L004_R1_001	11259565.0	36268922.0
5329_41_S104_L004_R2_001	13122009.0	34406478.0
5329_42_S105_L004_R1_001	11622618.0	40054028.0
5329_42_S105_L004_R2_001	13796086.0	37880560.0
5329_43_S106_L004_R1_001	10184336.0	30848765.0
5329_43_S106_L004_R2_001	12065329.0	28967772.0
5329_44_S107_L004_R1_001	15154625.0	65430737.0
5329_44_S107_L004_R2_001	18510071.0	62075291.0
5329_45_S108_L004_R1_001	491314.0	458250.0
5329_45_S108_L004_R2_001	539784.0	409780.0
5329_46_S109_L004_R1_001	11604016.0	31617500.0
5329_46_S109_L004_R2_001	13397057.0	29824459.0
5329_47_S110_L004_R1_001	12056609.0	38505158.0
5329_47_S110_L004_R2_001	13481678.0	37080089.0
5329_48_S111_L004_R1_001	10653311.0	33949381.0
5329_48_S111_L004_R2_001	12742670.0	31860022.0
5329_49_S112_L004_R1_001	11482343.0	37229140.0
5329_49_S112_L004_R2_001	13216744.0	35494739.0
5329_4_S67_L004_R1_001	9230037.0	33982263.0
5329_4_S67_L004_R2_001	10951288.0	32261012.0
5329_50_S113_L004_R1_001	11447242.0	39553572.0
5329_50_S113_L004_R2_001	13394682.0	37606132.0
5329_51_S114_L004_R1_001	11799432.0	43018753.0
5329_51_S114_L004_R2_001	13571006.0	41247179.0
5329_52_S115_L004_R1_001	11930252.0	36293438.0
5329_52_S115_L004_R2_001	13434801.0	34788889.0
5329_53_S116_L004_R1_001	14429400.0	54292107.0
5329_53_S116_L004_R2_001	17023031.0	51698476.0
5329_54_S117_L004_R1_001	14535248.0	52049320.0
5329_54_S117_L004_R2_001	16875072.0	49709496.0
5329_55_S118_L004_R1_001	11787887.0	39659351.0
5329_55_S118_L004_R2_001	13760174.0	37687064.0
5329_56_S119_L004_R1_001	13055512.0	46261843.0
5329_56_S119_L004_R2_001	14831334.0	44486021.0
5329_57_S120_L004_R1_001	11109913.0	36759457.0
5329_57_S120_L004_R2_001	12706093.0	35163277.0
5329_58_S121_L004_R1_001	11948120.0	36795851.0
5329_58_S121_L004_R2_001	13469758.0	35274213.0
5329_59_S122_L004_R1_001	11434591.0	38847385.0
5329_59_S122_L004_R2_001	13302528.0	36979448.0
5329_5_S68_L004_R1_001	9483897.0	29667621.0
5329_5_S68_L004_R2_001	11054348.0	28097170.0
5329_60_S123_L004_R1_001	11603745.0	47111524.0
5329_60_S123_L004_R2_001	13542661.0	45172608.0
5329_61_S124_L004_R1_001	14573466.0	55885179.0
5329_61_S124_L004_R2_001	17165809.0	53292836.0
5329_62_S125_L004_R1_001	15637693.0	71945330.0
5329_62_S125_L004_R2_001	18861701.0	68721322.0
5329_63_S126_L004_R1_001	11520034.0	37648363.0
5329_63_S126_L004_R2_001	13132542.0	36035855.0
5329_6_S69_L004_R1_001	8878968.0	27591234.0
5329_6_S69_L004_R2_001	10398406.0	26071796.0
5329_7_S70_L004_R1_001	8132891.0	28280977.0
5329_7_S70_L004_R2_001	9579143.0	26834725.0
5329_8_S71_L004_R1_001	12086412.0	36464042.0
5329_8_S71_L004_R2_001	13820236.0	34730218.0
5329_9_S72_L004_R1_001	12848538.0	41016616.0
5329_9_S72_L004_R2_001	15155880.0	38709274.0
